Nueva Segovia,5
Jinotega,10
Madriz,20
Estelí,25
Chinandega,30
Leon,35
Matagalpa,40
Boaco,50
Managua,55
Masaya,60
Chontales,65
Granada,70
Carazo,75
Rivas,80
Río San Juan,85
R.A.A.N,91
R.A.A.S,93
